派别,场所名称,地址,负责人姓名,省级行政区,省属地级行政区/直辖市属县区级行政区,经纬度,,,,,,
全真,朝阳洞,河北省承德市承德县仓子乡,宋艳萍,河北,承德市,"118.095220,41.013929",,,,,,
全真,元神殿,河北省承德市承德县岔沟乡石槽沟村,王青,河北,承德市,"118.163476,41.107067",,,,,,
全真,伏灵宫,河北省承德市承德县安匠乡,王长青,河北,承德市,"117.717747,40.758682",,,,,,
全真,魁星楼,河北省承德市双桥区半壁山,徐海承,河北,承德市,"117.955765,40.956711",,,,,,
全真,皇家关帝庙,河北省承德市双桥区武庙路18号,闫忠民,河北,承德市,"117.939522,40.981300",,,,,,
全真,天佑宫,河北省邯郸市大名县红庙乡总坟村,张跃廷,河北,邯郸市,"115.259143,36.339115",,,,,,
全真,城隍庙,河北省邯郸市大名县大名镇寺胡同街,李政书、宦忠亭,河北,邯郸市,"115.154089,36.292649",,,,,,
全真,灵颜庙,河北省邯郸市大名县红庙乡沈庄村,李永亮,河北,邯郸市,"115.296721,36.382222",,,,,,
全真,玉皇庙,河北省邯郸市大名县龙王庙镇西高村,张跃廷,河北,邯郸市,"115.207605,36.205682",,,,,,
全真,三仙观,河北省承德市双滦区双塔山风景区三仙观,李海楼,河北,承德市,"117.805975,40.959399",,,,,,
全真,青龙庙,河北省承德市兴隆县六道河镇古磬村,付长满,河北,承德市,"117.326841,40.397940",,,,,,
全真,城隍庙,河北省承德市西大街路北95号,郭小军,河北,承德市,"117.925209,40.986629",,,,,,
全真,桃山老爷庙,河北省承德市围场满族蒙古族自治县城子乡上门村,刘春利,河北,承德市,"117.215710,41.958658",,,,,,
全真,姜太公庙,河北省定州市大辛庄镇北旺村,刘书轩,河北,定州市,"115.219753,38.519945",,,,,,
全真,双圣庙,河北省承德市高新区闫营子村,王玉兰,河北,承德市,"117.937083,40.912370",,,,,,
全真,关帝庙,河北省承德市开发区上板城镇老爷庙村,宋起旺,河北,承德市,"117.987679,40.780123",,,,,,
全真,三仙洞,河北省承德市承德县下板城,马士龙,河北,承德市,"118.177879,40.771980",,,,,,
全真,真武观,河北省邯郸市峰峰矿区彭城镇老爷山真武观,程万云,河北,邯郸市,"114.179155,36.415319",,,,,,
全真,黑龙庙,河北省邯郸市峰峰矿区临水镇黑龙洞村,夏金芳,河北,邯郸市,"114.200721,36.417268",,,,,,
全真,黑龙庙,河北省邯郸市峰峰矿区峰峰镇峰峰村,王耀堂,河北,邯郸市,"114.214634,36.472281",,,,,,
全真,玉皇庙,河北省邯郸市峰峰矿区和村镇刘岗西玉皇庙,刘春根,河北,邯郸市,"114.083622,36.517912",,,,,,
正一,玉皇庙,河北省邯郸市魏县魏城镇大北关村,杨瑞芳,河北,邯郸市,"114.935243,36.361731",,,,,,
正一,泰山庙,河北省邯郸市魏县张二庄镇第六店村,张顺文,河北,邯郸市,"114.994607,36.118775",,,,,,
正一,鑫阳山,河北省邯郸市魏县车往镇黄甘固村,李品,河北,邯郸市,"114.843257,36.202537",,,,,,
正一,龙凤山玉皇庙,河北省邯郸市魏县大磨乡魏户村,魏文田,河北,邯郸市,"114.838158,36.253487",,,,,,
正一,青杨山,河北省邯郸市魏县魏城镇东关村,房振广,河北,邯郸市,"114.940257,36.364150",,,,,,
全真,群英白阳宫,河北省邯郸市广平县南韩村乡李庄,郝炳华,河北,邯郸市,"115.070004,36.529723",,,,,,
正一,城隍庙,河北省邯郸市魏县魏城镇大北关村,皇甫坤,河北,邯郸市,"114.935243,36.361731",,,,,,
全真,玉皇宫,河北省邯郸市广平县东张孟乡王九郎寨村,宋秀梅,河北,邯郸市,"115.114919,36.586041",,,,,,
全真,城隍庙,河北省邯郸市广平县南阳堡乡后大寨村,康连芹,河北,邯郸市,"115.026145,36.538949",,,,,,
全真,玉皇庙,河北省邯郸市成安县东乡义,翟付苍,河北,邯郸市,"114.670032,36.444407",,,,,,
全真,泰山庙,河北省邯郸市成安县北郎卜,王志合,河北,邯郸市,"114.620716,36.447417",,,,,,
全真,迎祥观,河北省邯郸市成安县迎祥观,朱保香,河北,邯郸市,"114.692722,36.438756",,,,,,
全真,城皇庙,河北省邯郸市成安县城隍庙,李秀婷,河北,邯郸市,"114.695429,36.439906",,,,,,
